,original,clase,clase_text
0, devastador incendi   conca  barberà  anoia  requerit 4 setmanes  treball conjunt  cossos  seguretat  emergències  municipis  voluntariat  pagesos    agraït   tasca lloable  incendi s  extingit    permetrem   zona caigui  oblit   ,5,accio exterior i govern obert
1,   absoluta condemna  odi   violència  tenen cabuda  democràcia   unitat  fermesa   amenaces   diferències s entomen  diàleg  respecte     suport  alcalde    ,5,accio exterior i govern obert
4,      oposició  catalunya  visitat  matí  zona afectada  incendi   conca  barberà  anoia          risc   evitar    vegada s  apagat incendi  oblidem  territori     psc      ,0,presidencia
12,  medalla  oro  enhorabuena   ,9,salut
15, trobada        patricia gómez      consellera  salut  consum      directors generals  gerents hospitals   illes balears    psc     ,0,presidencia
16,    oposició  catalunya       portaveu      reuneixen  membres        socialistes catalans  balears   projecte comú   polítiques socials basades   diàleg   convivència   respecte   diversitat     psc     ,0,presidencia
17,  trobada  col loqui     empresaris        diàleg   govern espanya s   complementar   diàleg  catalans  reconèixer  pluralitat opinions     catalunya    psc     ,0,presidencia
20,   visitar    establiments turístics    empreses activitats  natura  pallars sobirà                     conèixer  funcionament   temporada  parlar   necessitats  sector turístic  pirineu  curt  mitjà termini  pirineus  pallars  ,3,economia i hisenda
23,     zaragoza   pp      comparecencias  piden obvian   gobierno  relaciona    ccaa    piden comparecencias  temas relacionados  cataluña       ustedes  buscan  enfrentamiento   solucionar  problema    psc     ,0,presidencia
25,       catalunya   ganes  girar full    anys     bons     catalunya     present   debats   afecten       defensar  model  espanya     psc     ,0,presidencia
26,  catalunya     present   debats   afecten               psc      ,0,presidencia
31,  matí     oposició  catalunya     s  reunit    armengol  presidenta   illes balears   palma    psc     ,0,presidencia
33,iceta impulsará  transposición   norma europea  derechos  autor   diario   efe   vía  ,5,accio exterior i govern obert
35,  semana  visto    realidades paralelas     hechos     pp        imagen vale    palabras     repaso visual   semana vivida   partido popular        ,0,presidencia
38,            important   reprengui  taula  diàleg  expectatives realistes     diàleg  catalans s   produir       camí    trobar mínims comuns denominadors   respecte     psc     ,0,presidencia
40,              fet  feina excel lent     congrés extraordinari    fer   congrés  govern  catalunya  objectiu     partit    governar catalunya    psc     ,0,presidencia
42,    9 20 h     oposició  catalunya      entrevistat          psc     ,0,presidencia
44,llega   país   avión   260 personas repatriadas  afganistán  despegaron  madrugada  kabul    escala  dubái     torrejón   españa    solidaridad  humanidad    seguir trabajando  ayudar     necesitan   ,15,immigracio
45,    9 20 h     oposició  catalunya      entrevistat       psc     ,0,presidencia
54,   españa   177 personas repatriadas    horas  afganistán   110 afganos colaboradores  españa   67 colaboradores  ee uu    ministra      jemad reciben   séptimo avión   base aérea  torrejón  seguimos   ,15,immigracio
