,text,Prediction
0, devastador incendi   conca  barberà  anoia  requerit 4 setmanes  treball conjunt  cossos  seguretat  emergències  municipis  voluntariat  pagesos    agraït   tasca lloable  incendi s  extingit    permetrem   zona caigui  oblit   ,empresa i treball
0,   absoluta condemna  odi   violència  tenen cabuda  democràcia   unitat  fermesa   amenaces   diferències s entomen  diàleg  respecte     suport  alcalde    ,presidencia
0,nova visita  salvador illa  anoia  visitant  escoltant  territori  especialment  zones afectades  incendi    important   cop extingit  passi  oblid   declaració  zona greument afectada  part  govern espanya     ajuda pels municipi  ,interior
0, govern espanya treballa   famílies puguin integrar   construir  nova vida  casa     possible  tenint  compte   necessitats  hora assignar  centres acollida   benvinguts  benvingudes   catalunya   ,interior
0,      oposició  catalunya  visitat  matí  zona afectada  incendi   conca  barberà  anoia          risc   evitar    vegada s  apagat incendi  oblidem  territori     psc      ,presidencia
0, acompanyant       visita  bellprat  conèixer    mà  alcaldes  regidors   zona   efectes  terrible incendi        traslladat   ,autopromocio
0, vull compartir entrevista  m  fet  periodista    diari    gràcies    professionalitat    interès    agraïda    entrevista coneixereu  mica       ,presidencia
0,    fer   esforç  catalunya  prepari  millor   fer front  episodis derivats  canvi climàtic      grup parlamentari socialista  compromet  aportar idees  propostes constructives  abordar  temes          psc     ,presidencia
0,    cmin  acordat  setmana declarar zones catastròfiques     patit incendis       ajuda rellevant  matèria  recursos econòmics   pal liar  danys  s  patit    territoris         psc     ,presidencia
0,   ajudar  pal liar  danys  desgràcia  necessari  treball conjunt  coordinat    administracions        treballar conjuntament  eliminant discussions estèrils    aconseguir   objectius          psc     ,presidencia
0,    alcaldes  representants  municipis   traslladat 3 prioritats     fer  gestió forestal adequada    recursos hídrics adequats    millorar  telecomunicacions    comprometem  treballar   problemàtiques  territori          psc     ,presidencia
0,       oposició      visitat  zona afectada  incendi   conca  barberà  anoia      vull agrair    cossos  col lectius  pagesos  voluntaris  alcaldes  administració local   tasca    fer  extingir  foc    psc     ,presidencia
0,  medalla  oro  enhorabuena   ,autopromocio
0,teixir aliances  compartir   visió d  catalunya   espanya  cercar respostes conjuntes      fet     trobades   presidents euskadi  valència  balears    implicar    arraconar      article    ,interior
0,enriquidora visita institucional   illes balears  constatant  llaços unió  catalunya   compartit   presidenta   armengol      model espanya   dialogant   consolidar    agraït  tasca  equip   consellera    ,interior
0, trobada        patricia gómez      consellera  salut  consum      directors generals  gerents hospitals   illes balears    psc     ,presidencia
0,    oposició  catalunya       portaveu      reuneixen  membres        socialistes catalans  balears   projecte comú   polítiques socials basades   diàleg   convivència   respecte   diversitat     psc     ,presidencia
0,  trobada  col loqui     empresaris        diàleg   govern espanya s   complementar   diàleg  catalans  reconèixer  pluralitat opinions     catalunya    psc     ,presidencia
0, contacte informatiu        reunió    armengol  constatat   coincidència    models espanya    rica    diversitat     creativitat       europa  vegada  federal    psc     ,interior
0,  preguntes   presentat    producció externa  tv3   psc reclama   ccma   costat   s  pagat  programes  productores privades    triangle   ,presidencia
0,   visitar    establiments turístics    empreses activitats  natura  pallars sobirà                     conèixer  funcionament   temporada  parlar   necessitats  sector turístic  pirineu  curt  mitjà termini  pirineus  pallars  ,autopromocio
0,            explicar     30 000 solicitudes  nacionalización  descendientes sefardíes resueltas  2018        periodo  pp   resolvieron 4 500        aplicación   ley  espero    problema      psc     ,presidencia
0,consternat      infant   víctima   violència vicaria   cop  barcelona      suport   mare  familiars  nen   ,presidencia
